id;var2;LIST2008;LIST2009;LIST2010;var1;LIST2011;var0;LIST2012;IMG;tipomattess;BARCODE;codice;DESCRIZIONE;codcli;DESCRIZIONE IN INGLESE;COLOUR ;FABRICGLASS;dimCm.;VolM3;pzximb;imballoCm;for2012usd;fob2012eur; 30cbm ; 68cbm ;qxc;;Trasp.;DAZI USD;list2011calc;compreso2011;pesoKg;pesoimgKg;FORNITORE;fob2008USD;fob2009USD;fob2009EUR;fob2010USD;fob2010EUR;inctrasp
27;10,11;348,1;365,8;365,8;-9,19;402,8;116,21;186,3;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48431;POLTRONCINA BACOLI CON CUSCINO COLOR CORDA;7X026A-W;twist Wicker chair with pillow with zipper (painted silver + transparent polyesther painting);BROWN TWIST WICKER (FIVE WIRES) ;WP472 WITH ZIPPER;60,5x55x79,5 ;0,677;2;75x71x127 ;;0;;201;192;;36,46;;186,3;36,46;;;WEILING;51,5;59,7;40,34;52;37,14;100
28;-53,32;345,1;362,5;362,5;114,24;169,2;0;169,2;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47032;POLTRONCINA SANTORINI COLORE BROWN;WL-6351A-W;twist Wicker chair with cushion;MIXED COFFEE TWIST WICKER (FIVE WIRES) ;WP28A WITH ZIPPER;61x61x87 ;0,618;2;62x75x133 ;;0;;220;204;;34,31;;169,17;34,31;6,9;;WEILING;53,5;65,3;44,12;57;40,71;100
29;-53,32;345,1;362,5;362,5;114,24;169,2;0;169,2;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47033;POLTRONCINA SANTORINI COLORE BIANCO;WL-6351A-W;twist Wicker chair with cushion; WHITE TWIST WICKER (FIVE WIRES) ;J102A WHITE WITH ZIPPER;61x61x87 ;0,618;2;62x75x133 ;;0;;220;204;;34,31;;169,17;34,31;;;WEILING;53,5;65,3;44,12;57;40,71;100
30;-74,71;460,4;484,4;484,4;295,43;122,5;0;122,5;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47035;TAVOLO RETTANGOLARE SANTORINI 180 X 100 X 74 ;AS180100A-W;twist Wicker table with 5 mm. Transparent temperd glass;MIXED COFFEE TWIST WICKER (FIVE WIRES) ;FROSTED TEMPERED GLASS;180x100x74 ;0,194;1;185x10x105 ;;0;;351;280;;25;;122,5;25;;;WEILING;99;114,6;77,43;98,4;70,29;100
31;-74,71;460,4;484,4;484,4;295,43;122,5;0;122,5;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47036;TAVOLO SANTORINI 180 X 100 X 74 ;AS180100A-W;Wicker table with 5 mm. Transparent temperd glass; WHITE TWIST WICKER (FIVE WIRES) ;FROSTED TEMPERED GLASS;180x100x74 ;0,194;1;185x10x105 ;;0;;351;280;;25;;122,5;25;;;WEILING;99;114,6;77,43;98,4;70,29;100
32;-73,13;339,8;366,2;;-100;98,4;0;98,4;;STRUTTURA IN ALLUMINIO + V ETRO + TECNORATTAN;;47245;TAVOLO RETTANGOLARE ALASSIO 150X90X75;GT-27071-B;Rectangular table, with glass top;;;150x90x75 cm;0,153;1;152x92x11 ;;0;;444;320;;21,88;0;98,44;21,88;21,1;35;OTION;90;92,7;62,64;95,48;68,2;100
33;-76,04;132,3;139,8;;-100;33,5;0;33,5;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47250;SEDIA ALASSIO ;GS-2003;Dining Chair, alu frame and full wicker woven;;;50x60x86 cm;1,32;22;100x55x240;;0;500;1133;1056;;6,63;;33,48;6,63;4,8;;OTION;31,61;32,56;22;30,68;21,91;100
34;2,06;132,3;141;141;-2,02;143,9;0,07;143,8;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;50200;SEDIA ALASSIO COLOR SPECIAL BROWN;GS-2003;Dining Chair Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);;50x60x86;1,32;22;100x55x240;34,4;25,29;500;1133;1133;1077;6,18;;143,83;31,47;;;OTION;;37,44;25,3;32,74;23,39;19,63
35;2,06;132,3;141;141;-2,02;143,9;0,07;143,8;;;;50201;SEDIA ALASSIO COLOR BIANCO;GS-2003;Dining Chair Aluminum frame & full PE wicker cover;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;;50x60x86 ;1,32;22;100x55x240;34,4;25,29;500;1133;1133;1077;6,18;;143,83;31,47;;;OTION;;37,44;25,3;32,74;23,39;19,63
36;-0,12;164,8;173,5;184,2;6,29;173,3;-2,59;177,9;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;50220;SEDIA CON BRACCIOLI ALASSIO COLOR SPECIAL BROWN ;GS-2003B;Dining Chair Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);;60x60x86;1,47;20;100x60x245;39,4;28,97;408;925;925;879;7,57;;177,94;36,54;;;OTION;;43,78;29,58;38,29;27,35;20,71
37; ;;;184,2;6,29;173,3;-2,59;177,9;;;;50221;SEDIA CON BRACCIOLI ALASSIO COLOR BIANCO;GS-2003B; Dining Chair Aluminium frame & full PE wicker cover;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;;60x60x86;1,47;20;100x60x245;39,4;28,97;408;925;925;879;7,57;;177,94;36,54;;;OTION;;43,78;29,58;38,29;27,35;20,71
38; ;;;302,9;;354,3;2,87;344,4;;;;50230;POLTRONCINA SCHIENALE ALTO ALASSIO CM.64X64X100 H ;GS-310FA;Armchair 64X64X100 with 5 cm cushion;1044 (HIGH QUALITY);Water proof cushion with zipper - fabric: ECRU A13815;64x64x100;0,677;2;77x80x110;49,8;36,62;89;201;201;191;34,83;;344,36;71,44;;;OTION;;;;51,93;37,09;48,75
39; ;;;302,9;;354,3;2,87;344,4;;;;50231;POLTRONCINA SCHIENALE ALTO ALASSIO CM.64X64X100 H ;GS-310FA;Armchair 64X64X100 with 5 cm cushion;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;Water proof cushion with zipper - fabric: TORTORA A14203;64x64x100;0,677;2;77x80x110;49,8;36,62;89;201;201;191;34,83;;344,36;71,44;;;OTION;;;;51,93;37,09;48,75
40;-10,58;;489,8;489,8;11,83;438;-4,53;458,8;;STRUTTURA ALLUMINIO + TEAK;;50250;TAVOLO QUADRO ALASSIO CM. 90X90X75;GT-27071T;Teak Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;90x90x75;0,088;1;92x92x10,5;142,9;105,07;341;773;773;734;9,06;;458,8;114,13;;;OTION;;169,4;114,46;140,3;100,21;7,93
41;-12,96;710;763,6;763,6;14,9;664,6;-4,7;697,4;;STRUTTURA ALLUMINIO + TEAK;;50260;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN PIANO IN TEAK CM 150X90X75;GT-27071-E;Teak table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;150x90x75;0,147;1;152x92x10,5 ;199;146,32;204;463;463;439;15,12;;697,43;161,44;;;OTION;;235,06;158,82;189,53;135,38;9,36
42; ;;;763,6;14,9;664,6;-4,7;697,4;;STRUTTURA ALLUMINIO + TEAK;;50261;TAVOLO RETTANGOLARE ALASSIO COLOR BIANCO PIANO IN TEAK 150X90X75;GT-27071-E;Teak table Aluminium frame & full PE wicker cover, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;150x90x75;0,147;1;152x92x10,5 ;199;146,32;204;463;463;440;15,12;;697,43;161,44;;;OTION;;235,06;158,82;189,53;135,38;9,36
43;-8,65;339,8;372,2;372,2;9,47;340;-25,24;454,8;;STRUTTURA ALLUMINIO + VETRO;;50265;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN 150X90X75;GT-27071-B;Rectangular table, with tempered SMOKED/BLACK glass top, KD;1044 (HIGH QUALITY);TEMPERED SMOKED/BLACK GLASS;150x90x75;0,147;1;152x92x10,5 ;125,8;95,28;204;463;463;440;15,12;3,77;454,82;110,39;;;OTION;;106,6;72,03;93,23;69,29;13,7
44; ;;;372,2;9,47;340;-25,24;454,8;;STRUTTURA ALLUMINIO + VETRO;;50266;TAVOLO RETTANGOLARE ALASSIO COLOR BIANC0 150X90X75;GT-27071-B;Rectangular table, with tempered FROZEN/ WHITE glass top, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;FROZEN/WHITE TEMPERED GLASS;150x90x75;0,147;1;152x92x10,5 ;125,8;95,28;204;463;463;440;15,12;3,77;454,82;110,39;;;OTION;;106,6;72,03;93,23;69,29;13,7
45;-6,98;844,1;903,4;941,6;12,06;840,3;-4,96;884,2;;STRUTTURA ALLUMINIO + TEAK;;50270;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN 200X100X75;GT-27071-G;Teak Table Coffee Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;200x100x75;0,216;1;202x102x10,5;232,8;171,18;139;314;314;299;22,29;;884,16;193,47;;28,6;OTION;;253,48;171,27;221,68;158,34;11,52
46; ;;;941,6;12,06;840,3;-4,96;884,2;;STRUTTURA ALLUMINIO + TEAK;;50271;TAVOLO RETTANGOLARE ALASSIO COLOR BIANCO 200X100X75;GT-27071-G;Teak Table Coffee Table Aluminium frame & full PE wicker cover, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;200x100x75;0,216;1;202x102x10,5;232,8;171,18;139;314;314;299;22,29;;884,16;193,47;;;OTION;;253,48;171,27;221,68;158,34;11,52
47; ;;;1309,3;;1309,4;-4,81;1375,6;;;;50276;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN CM. 240X110X75 H;GT-27071;Dining table, Aluminium frame, wicker woven, TEAK TOP, 240x110x75cm,KD;1044 (HIGH QUALITY);TEAK TOP;240X110X75;0,285;1;242X112X10,5;348,3;256,1;105;239;239;227;29,29;;1375,59;285,39;;;OTION;;;;331,74;236,96;10,26
48; ;;;;;1309,4;-4,81;1375,6;;;;50277;TAVOLO RETTANGOLARE ALASSIO COLOR BIANCO CM. 240X110X75 H;GT-27071;Dining table, Aluminium frame, wicker woven, TEAK TOP, 240x110x75cm,KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;240X110X75;0,285;1;242X112X10,5;348,3;256,1;105;239;239;227;29,29;;1375,59;285,39;;;OTION;;;;;;10,26
49;-3,99;351;370,6;374,9;5,37;355,8;-4,76;373,6;;STRUTTURA ALLUMINIO + TEAK;;50280;TAVOLINO QUADRO ALASSIO COLOR SPECIAL BROWN 75X75X36;GT-7036T;Teak Table Coffee Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;75x75x36;0,062;1;77x77x10,5 ;96,7;71,1;482;1092;1092;1038;6,41;;373,61;77,51;;;OTION;;105,29;71,14;92,08;65,77;8,27
50;-3,99;351;370,6;374,9;5,37;355,8;-4,76;373,6;;;;50281;TAVOLINO QUADRO ALASSIO COLOR BIANCO CM 75X75X36 H;GT-7036T;TEAK TABLE Coffee Table Aluminum frame & full PE wicker cover;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;75x75x36 ;0,062;1;77x77x10,5 ;96,7;71,1;482;1092;1092;1038;6,41;;373,61;77,51;;;OTION;;105,29;71,14;92,08;65,77;8,27
51; ;;;;;;;0;;;;50295;TAVOLINO QUADRO ALASSIO COLOR SPECIAL BROWN CM 55X55X24 H;GT-2011;5 MM GLASS TOP 50X50 MM ALU TABLE ;1044 (HIGH QUALITY);NEW SMOKED GLASS;55X55X24;0,038;1;57X57X10,5;;;789;1789;1789;1700;3,91;0;0;;;;OTION;;;;;;0
52; ;;;;;;;0;;;;50296;TAVOLINO QUADRO ALASSIO COLOR BIANCO CM 55X55X24 H;GT-2011;5 MM GLASS TOP 50X50 MM ALU TABLE ;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;NEW GLASS;55X55X24;0,038;1;57X57X10,5;;;789;1789;1789;1700;3,91;0;0;;;;OTION;;;;;;0
53; ;;;309;;303,6;-3,89;315,9;;;;50286;TAVOLINO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN CM 100X55X42 H;GT-2011T;Teak Coffee table, with Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);TEAK TOP;100x55x42;0,061;1;102x57x10,5;80,6;59,26;491;1114;1114;1058;6,28;;315,94;65,55;;;OTION;;;;76,97;54,98;9,59
54;-0,82;227;243,6;258,8;7,12;241,6;-18,98;298,2;;STRUTTURA ALLUMINIO + VETRO;;50290;TAVOLINO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN CM 100X55X42 H;GT-2011;Coffee table, with tempered SMOKED/BLACK glass top Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);SMOKED/BLACK TEMPERED GLASS;100x55x42;0,061;1;102x57x10,5;79,8;60,44;491;1114;1114;1058;6,28;2,39;298,24;66,72;14;;OTION;;72,14;48,74;64,9;48,07;9,42
55; ;;;258,8;7,12;241,6;-18,98;298,2;;;;50291;TAVOLINO RETTANGOLARE ALASSIO COLOR BIANCO 100X55X42;GT-2011;Coffee table, with tempered FROZEN/ WHITE glass top Aluminium frame & full PE wicker cover ;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEMPERED WHITE GLASS;100x55x42;0,061;1;102x57x10,5;79,8;60,44;491;1114;1114;1058;6,28;2,39;298,24;66,72;14;;OTION;;72,14;48,74;64,9;48,07;9,42
56;-3,78;756,6;796,5;796,5;3,93;766,4;-0,36;769,2;;POLIESTERE WATER PROOF;;50310;DIVANO 2 POSTI ALASSIO COLOR SPECIAL BROWN ;;SOFA (Two seat) Aluminium frame & full PE wicker cover with 5 cm watefproof cushion 1044 (HIGH QUALITY);CUSHION:WATER PROOF, WITH ZIPPER; FABRIC ECRU A13815;120x72x88;1,446;2;135x94x114;119,4;87,79;41;94;94;89;63,83;;769,19;151,62;;;OTION;;;;;;42,1
57;2,28;837;904,5;904,5;-2,23;925,1;11,84;827,2;;POLIESTERE WATER PROOF;;50320;DIVANO 3 POSTI ALASSIO COLOR SPECIAL BROWN ;;SOFA (Three seat) Aluminium frame & full PE wicker cover with 5 cm waterproof cushion 1044 (HIGH QUALITY);CUSHION:WATER PROOF, WITH ZIPPER; FABRIC ECRU A13815;160x72x88;1,875;2;175x94x114;159,5;117,28;32;73;74;69;81,08;;827,16;198,36;;;OTION;;;;;;40,88
58;-0,46;359,6;388,7;393,6;1,73;386,9;-1,1;391,2;;POLIESTERE WATER PROOF;;50330;POLTRONA ALASSIO COLOR SPECIAL BROWN ;;Single Sofa Aluminium frame & full PE wicker cover with 5 cm waterproof cushion 1044 (HIGH QUALITY);CUSHION:WATER PROOF, WITH ZIPPER; FABRIC ECRU A13815;60x72x88;0,803;2;75x94x114;72,1;53,01;75;169;169;161;35,5;;391,25;88,52;;;OTION;;;;;;40,11
59;-3,78;756,6;796,5;796,5;;766,4;-0,36;769,2;;POLIESTERE WATER PROOF;;50311;DIVANO 2 POSTI ALASSIO COLOR BIANCO ;;SOFA (Two seat) Aluminium frame & full PE wicker cover with 5 cm watefproof cushion AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;CUSHION:WATER PROOF, WITH ZIPPER; FABRIC TORTORA A14203;120x72x88 ;1,446;2;135x94x114;119,4;87,79;41;94;94;89;63,83;;769,19;151,62;;;OTION;;;;;;42,1
